question,answer
"In the context of the C64, White band scrolls down the screen (60 HZ HUM).",possible cause: Check power supply and VR2 regulator.
"In the context of the C64, Wavy screen after the system warms up.",Check external power supply and 6567 chip.
"In the context of the C64, Black band scrolls through screen when system warms up.",Check external power supply and VR2 regulator.
"In the context of the C64, Out of memory error on power up.","Check Rams 4146 U1-U12,U21-U24. [ May be Hot! ]"
"In the context of the C64, Powers up with graphic display and blinking cursor.",Check U14.
"In the context of the C64, Powers up with all the characters displayed as blocks.",Check U26.
"In the context of the C64, Unit completely dead.",Possible power supply failure.
"In the context of the C64, After a few minutes, characters are all over the screen, then the unit locks up.",Possible power supply problem.
"In the context of the C64, Error LED stays on all the time.""","possible cause: 6501,ROM 32530201, ROM 90122905"
"In the context of the C64, Drive motor runs continuously and red LED stays on.","possible cause: 6522 [, LED Flashes: UC7 ]"
"In the context of the C64, Drive motor runs continuously and red LED stays off.","possible cause: 6502, ROM 90122905"
"In the context of the C64, After the drive warms up the motor runs continuously.",possible cause: 6522
"In the context of the C64, Does not load when hot or LED flashed 3 times.","possible cause: ROM 90122905, LM311"
"In the context of the C64, Searches with LED flashing continuously.",possible cause: ROM 90122905
"In the context of the C64, Searching with no red LED.",possible cause: ROM 3253021
"In the context of the C64, Drive fails to read.","possible cause: LM311, 592, 9602"
"In the context of the C64, Fails to format disk.","possible cause: 6522, ROM 32557201"
"In the context of the C64, Stepper Motor does not step forward.","possible cause: 6502, 6522"
"In the context of the C64, Will not save when the drive heats up.",possible cause: 6502
"In the context of the C64, Lights stay on, motor runs continuously.",Is Power cord plugged into wall outlet correctly? Is Power cord plugged into disk drive correctly?  Check line fuse and power switch.  Check +5/12 volt lines.
"In the context of the C64, No LED's on power up.",Check all RAM and ROM locations.
"In the context of the C64, Drive motor runs continuously with no red or green LED'S.",Check VR2. Check Power Transformer. [ Hint: No Reg. +5V ]
"In the context of the C64, Loads programs with red LED flashing. Check drive speed.",Check stepper motor.
"In the context of the C64, Loading is intermittent.",Check ROM's and drive alignment.
"In the context of the C64, Message of 'FILE NOT FOUND' is displayed.",Clean drive head w/alcohol. Check 0 stop adjustment. Check alignment. [ Check for sticky slide rails. 1571: Check head lifter release mech. ]
"In the context of the C64, Drive speed will not stabilize.",Check DC motor. [ Check belt (oldVdrives)] Locks-up when loading. Check serial port components. CheckV 901229-05.
"In the context of the C64, Fails the performance test and displays a 21 read error.",Check test diskette. Check Drive Motor.
"In the context of the C64, Fails the performance test and displays a 27 read error.",Check stop adjust.
"In the context of the C64, Passes performance test to track 18 then displays 21 read errors.",Check read/write head.
"In the context of the C64, Passes the performance test but will not load certain programs.",Check stepper motor.
"In the context of the C64, Flashing light on and off during loading.",An alignment problem or bad diskette.
"In the context of the C64, What is the function of the bit 0 of the I/O address $DD0D?",address $DD0D bit 0 is:	Timer A Interrupt
"In the context of the C64, What is the purpose of the memory range $DE00-DEFF?",address $DE00-DEFF are: 	Reserved for Future I/O Expansion
"In the context of the C64, What is tat address $DC01 bit 1?",address $DC01 bit 7	Timer B Toggle/Pulse Output
"In the context of the C64, What is the description of address $D41A in the Commodore 64 memory map?",address $D41A	is:	Analog/Digital Converter Game Paddle 2 (0-255)
"In the context of the C64, What is the description of the register located at address $DC0D?",address $DC0D	is: CIA Interrupt Control Register (ReadIRQs/Write Mask)
"In the context of the C64, What is the description of the register at address $4283?","address $4283	bits		6	is: Select Pulse Waveform, 1 = On"
"In the context of the C64, What is the function of bit 1 at address $4276?","address $4276	bit 1 is 	Synchronize Osc. 1 with Osc. 3 Frequency, 1 = On"
"In the context of the C64, What is the function of the bit 2 at address $DD00 in a Commodore 64?",address $DD00 bit 2 is: 	RS-232 Data Output (User Port)
"In the context of the C64, What is the description of memory address $3291?",address $3291		is:			Sprite 4 Color
"In the context of the C64, What is the function of bit 2 of the $DC0E address ?","address $DC0E bit 2 is:	Timer A Output Mode to PB6: 1 = Toggle,0 = Pulse"
"In the context of the C64, What is the description of the address $0001 bit 4 in a c64?",address $0001 bit 4	is: Cassette Switch Sense: 1 = Switch Closed
"In the context of the C64, What is the description of memory address $3277?",address $3277		is:			Sprites 0-7 Expand 2x Horizontal (X)
"In the context of the C64, What is the function of address D016 bit 2-0?",address D016 bit 2-0 is:	Smooth Scroll to X Pos
"In the context of the C64, What is the description of the USRADD command?","USRADD    address $0311-0312   is: USR Address ($LB,$MB)."
"In the context of the C64, What is the description of SFDX  with the address $00CB?",SFDX      address $00CB        is: Flag: Print shifted Characters.
"In the context of the C64, What is the description of the address $00B9?",SA        address $00B9        is: Current File - Secondary Address.
"In the context of the C64, What is the description of the memory address range $030A-030B in the Commodore 64?",IEVAL     address $030A-030B   is: Vector: Indirect entry to BASIC Token  evaluation ($AE86).
"In the context of the C64, What is the purpose and usage of the memory address range $02C0-$02FE in Commodore 64 programming?","SPR11     address $02C0-02FE   is: Sprite #11 Data Area.  (SCREEN + $03F8 + SPR number) POKE 1024+1016+0,11  to use Sprite#0 DATA from ($02C0-$02FE)."
"In the context of the C64, What is the description of the memory location $028B?",KOUNT     address $028B        is: Repeat Key: Speed Counter ($04).
"In the context of the C64, What is the purpose of the memory region from address $013F to $01FF ?",BSTACK    address $013F-01FF   is: BASIC Stack Area.
"In the context of the C64, What is the function of the memory address range $0200-0258 in a Commodore 64 computer?",BUF       address $0200-0258   is: BASIC Input Buffer (Input Line from Screen).
"In the context of the C64, What is the description of the memory location $028C?",DELAY     address $028C        is: Repeat Key: First repeat delay Counter ($10).
"In the context of the C64, What is the description of the memory region from address $02A7 to $02FF?",TEMP      address $02A7-02FF   is: Unused.
"In the context of the C64, What is the description of the memory location $00B8?",LA        address $00B8        is: Current File - Logical File number.
"In the context of the C64, What is the description of the memory location $0308-0309 in the Commodore 64?",IGONE     address $0308-0309   is: Vector: Indirect entry to BASIC Character dispatch Routine ($A7E4).
"In the context of the C64, What is the description of the USRPOK at address $0310?",USRPOK    address $0310        is: USR Function JMP Instruction ($4C).
"In the context of the C64, What is stored at memory address $00C9-00CA?",LXSP      address $00C9-00CA   is: Cursor X/Y (Line/Column) position at start of  Input.
"In the context of the C64, What is the description of memory address $D017 in the C64 memory map?",address $D017	is:		Sprites 0-7 Expand 2x Vertical (Y)
"In the context of the C64, What is the description of the address $0001 bit 5 in the C64?","address $0001 bit 5	is: Cassette Motor Control O = ON, 1 = OFF"
"In the context of the C64, What is stored at memory address $3278?",address $3278		is:			Sprite to Sprite Collision Detect
"In the context of the C64, What is the function of bit 1 at address $DC0E ?","address $DC0E bit 1 is:	Timer A Output on PB6: 1 = Yes, 0 = No"
"In the context of the C64, What is the function of address $DD00 bits 1-0 ?",address $DD00 bit 1-0 is:	VIC Chip System Memory Bank Select (Default = 11)
"In the context of the C64, What is the description of memory address $3292?",address $3292		is:			Sprite 5 Color
"In the context of the C64, What does bit 2 of address $4276 control ?","address $4276	bit 2 is 	Ring Modulate Osc. 1 with Osc. 3 Output, 1 = On"
"In the context of the C64, What is the description of the memory location $DC0C ?",address $DC0C	is: Synchronous Serial I/O Data Buffer
"In the context of the C64, What is the function of address $4283 ?","address $4283	bits		7	Select Random Noise Waveform, 1 = On"
"In the context of the C64, What is the description of memory address $D419 in the Commodore 64?",address $D419	is:	Analog/Digital Converter: Game Paddle 1 (0-255)
"In the context of the C64, What is the description of the address $DC01?",address $DC01 bits 7-0	Read Keyboard Row Values for Keyboard Scan
"In the context of the C64, What is at address $DD0F bits 6-5?","address $DD0F bits 6-5	is: Timer B Mode Select:
00 = Count System 02 Clock Pulses
01 = Count Positive CNT Transitions
10 = Count Timer A Underflow Pulses
11 = Count Timer A Underflows While CNT Positive"
"In the context of the C64, What is the function of the bit 1 of the I/O address $DD0D?",address $DD0D bit 1 is:	Timer B Interrupt
"In the context of the C64, What does bit 7 of address $DD0F represent ?","address $DD0F bit 7 is:	Set Alarm/TOD-Clock: 1 = Alarm, 0 = Clock"
"In the context of the C64, What is the function of bit 4 at address $DD0D?",address $DD0D bit 4 is:	FLAG1 NMI (User/RS-232 Received Data Input)
"In the context of the C64, What is the function of the memory location $DD03 ?",address $DD03 is:	Data Direction Register - Port B
"In the context of the C64, What is the description of memory location $D41B?",address $D41B	is:	Oscillator 3 Random Number Generator
"In the context of the C64, What is the description of the bit 6 of the $DC01 register ?",address $DC01 bit 6	Timer A: Toggle/Pulse Output
"In the context of the C64, What is the function of bit 4 at address $4276?","address $4276	bit 4 is 	Select Triangle Waveform, 1 = On"
"In the context of the C64, What is the description of the address $4282 bits 7-4?",address $4282	bits	7-4	is: Unused
"In the context of the C64, What does bit 3 of address $DC0E represent ?","address $DC0E bit 3 is:	Timer A Run Mode: 1 = One-Shot,0 = Continuous"
"In the context of the C64, What is the function of the bit 3 of the I/O address $DD00 in a Commodore 64?",address $DD00 bit 3 is: 	Serial Bus ATN Signal Output
"In the context of the C64, What is the function of bits 3-1 at address $D018 ?",address $D018 bits 3-1 is: Character Dot-Data Base	Address (inside VIC)
"In the context of the C64, What is the description of the memory address $3280 in the Commodore 64?",address $3280		is:			Border Color
"In the context of the C64, What is the description of the address $0001 bit 3 in a Commodore 64 computer?",address $0001 bit 3	is: Cassette Data Output Line
"In the context of the C64, What is the purpose of the memory location $030C in a Commodore 64 computer?",SAREG     address $030C        is: Storage for 6510 Accumulator during SYS.
"In the context of the C64, What is the description of the memory location at address $00B6?",RODATA    address $00B6        is: RS232 Output Byte Buffer/Tape Read Error Flag.
"In the context of the C64, What is the function and possible values of the flag located at address $00C7?","RVS       address $00C7        is: Flag: Reverse On/Off; On = $01, Off = $00."
"In the context of the C64, What is the description of the memory location at address $0313?",TEMP      address $0313        is: Unused.
"In the context of the C64, What is the function of the memory location at address $00D7 ?",SCHAR     address $00D7        is: Screen value of current Input Character/Last Character Output.
"In the context of the C64, What is the description of the FAT address $0263-026C in the Kernal Table?",FAT       address $0263-026C   is: Kernal Table: Active File First Addresses  (Device numbers).
"In the context of the C64, What is the purpose of the register located at address $028E ?",LSTSHF    address $028E        is: Last Shift Key used for debouncing.
"In the context of the C64, What is the description of the SHFLAG at memory address $028D?","SHFLAG    address $028D        is: Flag: Shift Keys: Bit 1 = Shift, Bit 2 = CBM, Bit 3 = CTRL; ($00 = None, $01 = Shift, etc.)."
"In the context of the C64, What is the description of the memory address range $0259-0262 in the Commodore 64 Kernal?",LAT       address $0259-0262   is: Kernal Table: Active logical File numbers.
"In the context of the C64, What is the purpose of the memory location at address $00D8?",INSRT     address $00D8        is: Count of number of inserts outstanding.
"In the context of the C64, What is the purpose of the INDX address $00C8 ?",INDX      address $00C8        is: Pointer: End of Line for Input (Used to suppress trailing spaces).
"In the context of the C64, What is the description of the CINV address $0314-0315?",CINV      address $0314-0315   is: Vector: Hardware IRQ Interrupt Address ($EA31).
"In the context of the C64, What is the purpose of the memory location at address $030D in a Commodore 64 computer?",SXREG     address $030D        is: Storage for 6510 X-Register during SYS.
"In the context of the C64, What does the FNLEN at address $00B7?",FNLEN     address $00B7        is: Number of Characters in Filename.
"In the context of the C64, What is the description of memory address $3279?",address $3279		is:			Sprite to Background Collision Detect
"In the context of the C64, What is the description of the memory address $0001 bit 2?",address $0001 bit 2	is: /CHAREN Signal (0=Swith Char. ROM In)
"In the context of the C64, What is the function of bits 7-4 at address $D018?",address $D018 bits 7-4 is: Video Matrix Base Address (inside VIC)
"In the context of the C64, What is the function of the bit 4 at address $DD00?",address $DD00 bit 4 is: 	Serial Bus Clock Pulse Output
"In the context of the C64, What does bit 4 of address $DC0E represent ?",address $DC0E bit 4 is:	Force Load Timer A: 1 = Yes
"In the context of the C64, What is the description of the register located at address $4283 ?","address $4283	bits 3-0 is: Voice 2: Pulse Waveform Width - High-Nybble


address $4283			Voice 2: Control Register"
"In the context of the C64, What is the function of bit 3 at address $4276?",address $4276	bit 3 is 	Test Bit: 1 = Disable Oscillator 1
"In the context of the C64, What is the description of the address $DC01 ?",address $DC01 bit 4	Joystick 1 Fire Button: 1 = Fire 3-2	Paddle Fire Buttons 3-0	Joystick 1 Direction
"In the context of the C64, What is the description of memory location $D41C?",address $D41C	is:	Envelope Generator 3 Output
"In the context of the C64, What is the description of memory address $DD04 in the Commodore 64?",address $DD04 is:	Timer A: Low-Byte
"In the context of the C64, What is the function of bit 3 of the I/O address $DD0D?",address $DD0D bit 3 is:	Serial Port Interrupt
"In the context of the C64, What is the function of bits 4-0 of address $DD0F?",address $DD0F bits 4-0 is:	Same as CIA Control Reg. A - for Timer B
"In the context of the C64, What is the function of bit 7 in the address $DD0D?",address $DD0D bit 7 is:	NMI Flag (1 = NMI Occurred) / Set-Clear Flag
"In the context of the C64, What is the function of bit 1 at address $DD0E ?","address $DD0E bit 1 is:	Timer A Output on PB6: 1 = Yes, 0 = No"
"In the context of the C64, What does bit 7 of address $DD0E represent?","address $DD0E bit 7 is:	Time-of-Day Clock Frequency: 1 = 50 Hz, 0 = 60 Hz"
"In the context of the C64, What is the function of memory address $4277 ?",Address $4277		is:	Envelope Generator 1: Attack / Decay Cycle Control
"In the context of the C64, What is the description of memory address $4279 ?",address $4279	is:		Voice 2: Frequency Control - Low-Byte
"In the context of the C64, What is the function of memory address $DC00 in a Commodore 64 computer?","address $DC00 is:	Data Port A (Keyboard, Joystick, Paddles,Light-Pen)"
"In the context of the C64, What is the description of address $DC01 in a Commodore 64 system?","address $DC01 is:	Data Port B (Keyboard, Joystick, Paddles): Game Port 1"
"In the context of the C64, What is the function of bit 7 at memory address $D019?",address $D019 Bit 7	is: Set on Any Enabled VIC IRQ Condition
"In the context of the C64, What is the description of the MOS 6510 Data Direction Register at address $0000?","address - BITS - DESCRIPTION
$0000	0		7-0	MOS 6510 Data Direction
Register (xx101111) Bit= 1: Output, Bit=0: Input, x=Don't Care"
"In the context of the C64, What is the function of the address $3275?",address $3275		is:			Sprite to Background Display Priority:	1 = Sprite
"In the context of the C64, What is the function of bit 0 at address $DC0E ?","address $DC0E bit 0 is:	Start/Stop Timer A: 1 = Start, 0 = Stop"
"In the context of the C64, What is the function of the address $DD00 in the Commodore 64?","address $DD00 is: Data Port A (Serial Bus, RS-232, VIC Memory Control)"
"In the context of the C64, What is the purpose of the memory region from address $0100 to $01FF?",STACK     address $0100-01FF   is: 6510 Hardware Stack Area.
"In the context of the C64, What is the function of the address range $00BB-00BC?",FNADR     address $00BB-00BC   is: Pointer: Current File name Address.
"In the context of the C64, What is the description of the memory location $0306-0307 in the Commodore 64?",IQPLOP    address $0306-0307   is: Vector: Indirect entry to BASIC LIST  Routine ($A71A).
"In the context of the C64, What is the description of the ICLOSE vector at address $031C-031D in the Kernal?",ICLOSE    address $031C-031D   is: Vector: Indirect entry to Kernal CLOSE Routine ($F291).
"In the context of the C64, What is the description of the memory location $00C3-00C4?",MEMUSS    address $00C3-00C4   is: Pointer: Type 3 Tape LOAD and general use.
"In the context of the C64, What is the description of the memory location at address $0281-0282?",MEMSTR    address $0281-0282   is: Pointer: Bottom of Memory for Operating System ($0800).
"In the context of the C64, What is the function of the XMAX address $0289?",XMAX      address $0289        is: Maximum number of Bytes in Keyboard Buffer ($0A).
"In the context of the C64, What is the function and behavior of the RPTFLG at address $028A?","RPTFLG    address $028A        is: Flag: Repeat keys; $00 = Cursors, INST/DEL &  Space repeat, $40 no Keys repeat, $80 all  Keys repeat ($00)."
"In the context of the C64, What is the description of the memory location at address $0283-0284?",MEMSIZ    address $0283-0284   is: Pointer: Top of Memory for Operating   System ($A000).
"In the context of the C64, What is the description of the memory location $031A-031B in the Commodore 64 Kernal?",IOPEN     address $031A-031B   is: Vector: Indirect entry to Kernal OPEN Routine ($F34A).
"In the context of the C64, What is the function of the memory address $00C1-00C2 ?",STAL      address $00C1-00C2   is: Start Address for LOAD and Cassette Write.
"In the context of the C64, What is at address $00BA","FA        address $00BA        is: Current File - First Address (Device number). OPEN LA,FA,SA;  OPEN 1,8,15,'I0':CLOSE 1"
"In the context of the C64, What is the description of the memory location $0304-0305 in the Commodore 64?",ICRNCH    address $0304-0305   is: Vector: Indirect entry to BASIC Tokenise Routine ($A57C).
"In the context of the C64, What is the purpose of the memory location $0100-013E?",BAD       address $0100-013E   is: Tape Input Error log.
"In the context of the C64, What is the function of the bit 7 of the I/O register at address $DD00 in the Commodore 64?",address $DD00 bit 7is	Serial Bus Data Input
"In the context of the C64, What is the description of the memory address $DC0F in the Commodore 64?",address $DC0F	is:		CIA Control Register B
"In the context of the C64, What is the description of the memory location $0001 in the Commodore 64?",address $0001 bit	1			MOS 6510 Micro-Processor On-Chip I/O Port
"In the context of the C64, What is the description of memory address $3276 in the Commodore 64?",address $3276		is:			Sprites 0-7 Multi-Color Mode Select:1 = M.C.M.
"In the context of the C64, What is the description of the flag located at address $D019 Bit 3?",address $D019 Bit 3	is: Light-Pen Triggered IRQ Flag
"In the context of the C64, What is the function of bits 3-0 at address $DC00?",address $DC00 bits 3-0	is: Joystick A Direction (0-15)
"In the context of the C64, What is the function of the addresses DC00-DCFF in a Commodore 64 computer?",addesszq DC00-DCFF	are 	MOS 6526 Complex Interface Adapter (CIA) #1
"In the context of the C64, What is the description of the address $4278 in the context of a microcontroller's configuration?",address $4278      bits        3-0  is:   Select Release Cycle Duration: 0-15
"In the context of the C64, What is the function of bit 0 at address $4276?","address $4276	bit 0 is 	Gate Bit: 1 = Start Att/Dec/Sus, 0 = Start Release"
"In the context of the C64, What is the description of the memory location $DD0E in the Commodore 64?",address $DD0E	is:		CIA Control Register A
"In the context of the C64, What is the function of bit 2 of the $DD0E address ?","address $DD0E bit 2 is:	Timer A Output Mode to PB6: 1 = Toggle,0 = Pulse"
"In the context of the C64, What is the function of the memory address $DD0D in the Commodore 64?",address $DD0D is:	CIA Interrupt Control Register (Read NMls/Write Mask)
"In the context of the C64, What is the function of bit 6 of the address $DD0E ?","address $DD0E bit 6 is:	Serial Port I/O Mode Output, 0 = Input"
"In the context of the C64, What is the function of bit 0 at address $DD0E ?","address $DD0E bit 0 is:	Start/Stop Timer A: 1 = Start, 0 = Stop"
"In the context of the C64, What is the description of the memory address $4280 ?",address $4280	is:		Voice 2: Frequency Control - High-Byte
"In the context of the C64, What is the function of bit 6 in the $DC0E address ?","address $DC0E bit 6 is:	Serial Port I/O Mode Output, 0 = Input"
"In the context of the C64, What is the function of bits 7-4 at address $4277?",Address $4277    bits          7-4  is:   Select Attack Cycle Duration: 0-15
"In the context of the C64, What is the description of the memory address $DC00 bits 4 in a Commodore 64?",address $DC00 bits 4	is: Joystick A Fire Button: 1 = Fire
"In the context of the C64, What is at addresses D500-D7FF",addresses D500-D7FF	are 	SID IMAGES
"In the context of the C64, What is the description of the register located at address $D01A?",address $D01A	is:			IRQ Mask Register: 1 = Interrupt Enabled
"In the context of the C64, What is the description of the memory address $0001 bit 1 in the Commodore 64?",is: /HIRAM Signal (0=Switch Kernal ROM Out)
"In the context of the C64, What is the function of the bit at memory address $D019?",address $D019 Bit 1 is: VIC Interrupt Flag Register (Bit = 1: IRQ Occurred)
"In the context of the C64, What is the function of the bit 5 at address $DD00 in the Commodore 64?",address $DD00 bit 5 is: 	Serial Bus Data Output
"In the context of the C64, What does the Timer B Mode Select bits 6-5 in the $DC0F address control?","address $DC0F bits 6-5	is: Timer B Mode Select: 00 = Count System 02 Clock Pulses, 01 = Count Positive CNT Transitions, 10 = Count Timer A Underflow Pulses, 11 = Count Timer A Underflows While CNT Positive"
"In the context of the C64, What is the function of bit 5 at address $4276 ?","address $4276	bit 5 is 	Select Sawtooth Waveform, 1 = On"
"In the context of the C64, What is the function of the RIDBS register at address $029C ?",RIDBS     address $029C        is: RS232 Pointer: High Byte of Address of Input Buffer.
"In the context of the C64, What is the purpose of the memory location at address $00C5 in a keyboard matrix?",LSTX      address $00C5        is: Matrix value of last Key pressed; No Key = $40.
"In the context of the C64, What is the description of the memory location at address $0316-0317?",CNBINV    address $0316-0317   is: Vector: BRK Instruction Interrupt Address  ($FE66).
"In the context of the C64, What is the description of the IERROR vector at address $0300-0301 in a Commodore 64 computer?","IERROR    address $0300-0301   is: Vector: Indirect entry to BASIC Error Message, (X) points to Message ($E38B)."
"In the context of the C64, What is the function of the ROPRTY register at address $00BD?",ROPRTY    address $00BD        is: RS232 Output Parity/Tape Byte to be Input or Output.
"In the context of the C64, What is the description of the HIBASE address $0288 in the context of Commodore 64 memory layout?",HIBASE    address $0288        is: High Byte of Screen Memory Address ($04).
"In the context of the C64, What is the function of the memory location $0277-0280 ?",KEYD      address $0277-0280   is: Keyboard Buffer Queue (FIFO).
"In the context of the C64, What is the description of the memory address range $026D-0276 in the Commodore 64's Kernal?",SAT       address $026D-0276   is: Kernal Table: Active File Secondary Addresses.
"In the context of the C64, What is the function of the memory location at address $0287?",GDCOL     address $0287        is: Background Colour under Cursor.
"In the context of the C64, What is the description of the IMAIN address $0302-0303 in a Commodore 64 computer?",IMAIN     address $0302-0303   is: Vector: Indirect entry to BASIC Input Line and Decode ($A483).
"In the context of the C64, What is the function of the FSBLK at address $00BE?",FSBLK     address $00BE        is: Tape Input/Output Block count.
"In the context of the C64, What is stored at memory address $00C6 in the C64?",NDX       address $00C6        is: Number of Characters in Keyboard Buffer queue.
"In the context of the C64, What is the description of the memory address range $0318-0319?",NMINV     address $0318-0319   is: Vector: Hardware NMI Interrupt Address ($FE47).
"In the context of the C64, What is the function of the RODBS register at address $029D ?",RODBS     address $029D        is: RS232 Pointer: High Byte of Address of Output  Buffer.
"In the context of the C64, What does the bit 7 of address $DC0F represent?","address $DC0F bits 7	is: Set Alarm/TOD-Clock: 1 = Alarm, 0 = Clock"
"In the context of the C64, What is the function of bit 6 at address $4276?","address $4276	bit 6 is 	Select Pulse Waveform, 1 = On"
"In the context of the C64, What is the function of the bit 6 of the address $DD00?",address $DD00 bit 6 is: 	Serial Bus Clock Pulse Input
"In the context of the C64, What is the function of bit 0 at memory address $D018?",address $D018 bits 0 is:	Select upper/lower Character Set
"In the context of the C64, What is the function of Bit 0 at memory address $D019?",address $D019 Bit 0	is: Raster Compare IRQ Flag
"In the context of the C64, What is the function of bit 0 at address $0001?",address $0001 bit 0	is: /LORAM Signal (0=Switch	BASIC ROM Out)
"In the context of the C64, What type of memory is stored in the address range D800-DBFF?",addresses D800-DBFF	are	Color RAM (Nybbles)
"In the context of the C64, What is the description of the address $DC00 bits 3-2 in aC64controller?",address $DC00 bits 3-2	is: Paddle Fire Buttons
"In the context of the C64, What is the function of bit 5 at address $DC0E?","address $DC0E bit 5 is:	Timer A Counts: 1 = CNT Signals, 0 = System 02 Clock"
"In the context of the C64, What is the function of the bits 3-0 at address $4277?",Address $4277 bits	3-0	is: Select Decay Cycle Duration: 0-15
"In the context of the C64, What is the description of the address $4281 ?",address $4281	is		Voice 2: Pulse Waveform Width - Low-Byte
"In the context of the C64, What is the description of the memory location $DD0F in the Commodore 64?",address $DD0F	is: CIA Control Register B
"In the context of the C64, What is the function of bit 5 at address $DD0E?","address $DD0E bit 5 is:	Timer A Counts: 1 = CNT Signals, 0 = System 02 Clock"
"In the context of the C64, What is the description of the register located at address $0001?",R6510  address  $0001       is:   6510 On-chip 8-bit Input/Output Register.
"In the context of the C64, What is the description of the SUBFLG directive with address $0010?",SUBFLG address  $0010       is:   Flag: Subscript reference/User Function call.
"In the context of the C64, What is the description of the memory address range $002F-0030 in a Commodore 64 computer?",ARYTAB address  $002F-0030  is:   Pointer: Start of BASIC Arrays.
"In the context of the C64, What is the purpose of the OPMASK at address $004D?",OPMASK address  $004D       is:   Mask used during FRMEVL.
"In the context of the C64, What is the description of the address range $006A-006D?",ARGHO  address  $006A-006D  is:   AFAC Mantissa.
"In the context of the C64, What does bit 6 of address $D418 control in a device?",address $D418 bit 6	is: Select Filter High-Pass Mode: 1 = On
"In the context of the C64, What is the function of memory address $D413 ?",address $D413 is:	Envelope Generator 3: Attac/Decay Cycle Control
"In the context of the C64, What is the recommended setting for bit 5 of address D016?",address D016 bit 5 is	ALWAYS SET THIS BIT TO 0 !
"In the context of the C64, What is the description of the memory address $D00E in the C64 memory map?",address $D00E is Sprite 7 X Pos
"In the context of the C64, What is the function of the memory address $00AC-00AD?",SAL       address $00AC-00AD   is: Pointer: Tape Buffer/Screen scrolling.
"In the context of the C64, What is the description of the sprite located at address $0380-03BE?",SPR14     address $0380-03BE   is: Sprite #14.
"In the context of the C64, What is the description of the User Defined Vector located at address $032E-032F?",USRCMD    address $032E-032F   is: User Defined Vector ($FE66).
"In the context of the C64, What does the MSGFLG at address $009D control in a program?","MSGFLG    address $009D        is: Flag: $00 = Program mode: Suppress Error  Messages, $40 = Kernal Error Messages only, $80 = Direct mode: Full Error Messages."
"In the context of the C64, What is the description of the memory location $0092?",SVXT      address $0092        is: Timing Constant for Tape.
"In the context of the C64, What is the memory address of the kernel routine for the TALK command in Commodore 64 BASIC?",kernal routine address for talk	= $ffb4
"In the context of the C64, What is the kernel routine address for the SETLFS command in Commodore 64 BASIC?",kernal routine address for setlfs	= $ffba
"In the context of the C64, What is the kernel routine address for the second interrupt vector in the 6502 microprocessor?",kernal routine address for second	= $ff93
"In the context of the C64, What is the address of the kernel routine for stopping the computer in the Commodore 64?",kernal routine address for stop	= $ffe1
"In the context of the C64, What is the format and description of the VERCKK command?","VERCKK    address $0093        is: Flag: 0 = Load, 1 = Verify."
